Time,Temperature
1584019286.0092306,38.0
1584019286.093151,33.0
1584019286.2030475,38.0
1584019286.3109462,35.0
1584019286.4228394,34.0
1584019286.529739,39.0
1584019286.639636,50.0
1584019286.7475343,48.0
1584019286.8574297,44.0
1584019286.9663258,34.0
1584019287.0772228,41.0
1584019287.1861186,30.0
1584019287.2970135,34.0
1584019287.4039123,43.0
1584019287.5138087,35.0
1584019287.6227062,43.0
1584019287.7326014,30.0
1584019287.8434968,40.0
1584019287.953393,43.0
1584019288.0662858,39.0
1584019288.1701877,44.0
1584019288.2790847,43.0
1584019288.3909795,35.0
1584019288.4978788,46.0
1584019288.6077743,33.0
1584019288.7176697,42.0
1584019288.8265672,42.0
1584019288.9394612,33.0
1584019289.0473576,47.0
1584019289.1567163,49.0
1584019289.2640948,45.0
1584019289.3724263,31.0
1584019289.4821784,35.0
1584019289.5910478,41.0
1584019289.7038279,50.0
1584019289.8111901,41.0
1584019289.9192083,40.0
1584019290.0298007,45.0
1584019290.138909,33.0
1584019290.248806,50.0
1584019290.3594584,42.0
1584019290.4685452,41.0
1584019290.5764616,32.0
1584019290.6862977,46.0
1584019290.7960055,42.0
1584019290.9049063,35.0
1584019291.014705,41.0
1584019291.1252012,30.0
1584019291.2334867,46.0
1584019291.344071,42.0
1584019291.452249,45.0
1584019291.5610378,37.0
1584019291.670098,45.0
1584019291.780814,34.0
1584019291.890751,46.0
1584019291.998763,42.0
1584019292.1104362,46.0
1584019292.21675,41.0
1584019292.326421,34.0
1584019292.438799,35.0
1584019292.5467374,50.0
1584019292.653635,45.0
1584019292.763903,42.0
1584019292.8796177,46.0
1584019292.9865246,43.0
1584019293.093408,49.0
1584019293.2013073,38.0
1584019293.3112013,37.0
1584019293.421098,44.0
1584019293.5299942,47.0
1584019293.6498823,32.0
1584019293.7507854,36.0
1584019293.8566859,40.0
1584019293.9665825,35.0
1584019294.078477,48.0
1584019294.1853755,41.0
1584019294.295271,40.0
1584019294.4071662,40.0
1584019294.5130656,45.0
1584019294.6239598,33.0
1584019294.7318587,38.0
1584019294.843753,50.0
1584019294.9506514,41.0
1584019295.066542,38.0
1584019295.173441,38.0
