Time,Temperature
1584338996.534964,47.0
1584338996.6548502,43.0
1584338996.763766,32.0
1584338996.875401,45.0
1584338996.9859743,35.0
1584338997.0923133,46.0
1584338997.2020245,30.0
1584338997.3152833,38.0
1584338997.4209468,49.0
1584338997.5284007,30.0
1584338997.6392608,33.0
1584338997.7491705,35.0
1584338997.8580515,47.0
1584338997.96579,43.0
1584338998.0787585,45.0
1584338998.189774,42.0
1584338998.2944438,44.0
1584338998.4044123,39.0
1584338998.5151896,40.0
1584338998.6233325,44.0
1584338998.7333596,38.0
1584338998.8412585,40.0
1584338998.9522898,50.0
1584338999.0610776,35.0
1584338999.168974,49.0
1584338999.2796981,31.0
1584338999.3909357,44.0
1584338999.5034163,48.0
1584338999.6092987,39.0
1584338999.7157748,31.0
1584338999.8267996,41.0
1584338999.9352932,35.0
1584339000.0461879,48.0
1584339000.155083,35.0
1584339000.2629821,44.0
1584339000.3748765,36.0
1584339000.483314,30.0
1584339000.5932498,48.0
1584339000.701617,32.0
1584339000.8143368,41.0
1584339000.921342,50.0
1584339001.032037,38.0
1584339001.1376712,32.0
1584339001.2472925,46.0
1584339001.359002,46.0
1584339001.468705,47.0
1584339001.575767,31.0
1584339001.6887848,34.0
1584339001.7946029,42.0
1584339001.9037573,35.0
1584339002.0137906,46.0
1584339002.1230676,34.0
1584339002.2332683,30.0
1584339002.343158,42.0
1584339002.4532974,33.0
1584339002.565292,45.0
1584339002.672296,41.0
1584339002.7791965,45.0
1584339002.8900914,37.0
1584339002.9999871,48.0
1584339003.107883,36.0
1584339003.2169642,35.0
1584339003.3279734,35.0
1584339003.4413133,40.0
1584339003.5462575,43.0
1584339003.6554403,32.0
1584339003.7628098,49.0
1584339003.8729076,39.0
1584339003.9813585,42.0
1584339004.092423,45.0
1584339004.2017884,35.0
1584339004.3112328,37.0
1584339004.4205446,47.0
1584339004.529914,37.0
1584339004.6388047,40.0
1584339004.7487893,32.0
1584339004.859809,38.0
1584339004.9659846,43.0
1584339005.076797,48.0
1584339005.7337492,30.0
1584339005.843646,48.0
1584339005.9505446,47.0
1584339006.0624368,49.0
1584339006.1717165,42.0
1584339006.2786293,38.0
1584339006.3885484,40.0
1584339006.4978826,30.0
1584339006.6077604,36.0
1584339006.7196534,46.0
1584339006.8275528,31.0
1584339006.9397616,34.0
1584339007.0458434,39.0
1584339007.1541958,43.0
1584339007.2637954,41.0
1584339007.3740973,47.0
1584339007.4838505,43.0
1584339007.5917497,47.0
1584339007.7026422,42.0
1584339007.8115382,46.0
1584339007.9224334,34.0
1584339008.0303311,39.0
1584339008.1415114,33.0
1584339008.2487626,45.0
1584339008.358659,38.0
1584339008.4665554,45.0
1584339008.5774755,30.0
1584339008.684769,36.0
1584339008.7968023,33.0
1584339008.9057367,30.0
1584339009.013567,36.0
1584339009.1287858,47.0
1584339009.2318878,42.0
1584339009.3427827,38.0
1584339009.4520478,48.0
1584339009.5609448,38.0
1584339009.669885,41.0
1584339009.7801673,31.0
1584339009.8906205,32.0
1584339009.9995346,32.0
1584339010.1088467,43.0
1584339010.2189116,33.0
1584339010.3442438,35.0
1584339010.4351573,31.0
1584339010.5451195,39.0
1584339010.6555507,48.0
1584339010.7644866,41.0
1584339010.872388,45.0
1584339010.983286,42.0
1584339011.0917988,31.0
1584339011.2029088,48.0
1584339011.3109813,33.0
1584339011.419292,42.0
1584339011.5300548,39.0
1584339011.6378875,44.0
1584339011.7479827,41.0
1584339011.8567176,36.0
1584339011.9671614,36.0
1584339012.0764356,33.0
1584339012.1893916,47.0
