Time,Temperature
1584349686.9507837,50.0
1584349687.061679,45.0
1584349687.1715753,32.0
1584349687.2784746,48.0
1584349687.3893678,35.0
1584349687.4982665,44.0
1584349687.6071627,33.0
1584349687.722054,35.0
1584349687.8279543,45.0
1584349687.9368508,37.0
1584349688.0457482,30.0
1584349688.1536455,47.0
1584349688.2645419,50.0
1584349688.3734393,41.0
1584349688.4833353,45.0
1584349688.591233,47.0
1584349688.7021296,34.0
1584349688.8100255,39.0
1584349688.9189227,36.0
1584349689.0288186,40.0
1584349689.1387146,34.0
1584349689.2496102,41.0
1584349689.357509,45.0
1584349689.4664059,48.0
1584349689.5763018,42.0
1584349689.6861978,31.0
1584349689.7940946,48.0
1584349689.90499,46.0
1584349690.0148883,44.0
1584349690.1227846,37.0
1584349690.231682,43.0
1584349690.3465734,35.0
1584349690.4514735,31.0
1584349690.5613704,36.0
1584349690.6692684,31.0
1584349690.78416,41.0
1584349690.8890598,47.0
1584349690.9979575,42.0
1584349691.1078546,47.0
1584349691.2177496,49.0
1584349691.3266788,30.0
1584349691.43515,44.0
1584349691.5440464,46.0
1584349691.6595085,33.0
1584349691.763454,41.0
1584349691.8741689,33.0
1584349691.9840658,32.0
1584349692.0919635,41.0
1584349692.2008593,41.0
1584349692.3161247,47.0
