Time,Temperature
1588605069.64221,55.0
1588605090.40728,66.0
1588605091.4562,66.0
1588605092.50146,66.0
1588605093.62772,66.0
1588605094.67466,66.0
1588605095.71947,66.0
1588605096.77112,66.0
1588605097.81195,66.0
1588605098.85709,66.0
1588605099.9074,66.0
1588605100.96705,66.0
1588605102.01591,66.0
1588605103.1593,66.0
1588605104.20447,66.0
1588605105.25096,66.0
1588605140.97837,66.0
1588605142.03267,66.0
1588605143.07562,66.0
1588605144.12255,66.0
1588605145.17572,66.0
1588605146.2216,66.0
1588605147.26716,66.0
1588605183.33645,66.0
1588605184.38958,66.0
1588605185.43803,66.0
1588605186.48499,66.0
1588605202.42254,66.0
1588605203.47326,66.0
1588605204.53128,66.0
1588605205.57686,66.0
1588605206.62319,66.0
1588605265.73471,66.0
1588605266.78344,66.0
1588605267.82964,66.0
1588605268.89266,66.0
1588605269.94557,66.0
1588605270.98747,66.0
1588605298.0218,66.0
1588605299.08129,66.0
1588605300.12685,66.0
1588605301.16822,66.0
1588605302.21431,66.0
1588605401.97335,66.0
1588605403.03256,66.0
1588605404.08007,66.0
1588605405.12629,66.0
1588605406.18035,66.0
1588605407.25541,66.0
1588605408.30035,66.0
1588605434.23979,66.0
1588605435.29887,66.0
1588605436.34674,66.0
1588605437.40621,66.0
1588605438.44724,66.0
1588605439.51518,66.0
1588605609.56883,66.0
1588605610.67783,66.0
1588605611.73036,66.0
1588605612.78079,66.0
1588605613.83093,66.0
1588605614.88905,66.0
1588605748.45357,66.0
1588605749.50748,66.0
1588605750.55293,66.0
1588605751.6063,66.0
1588605774.31368,66.0
1588605775.37531,66.0
1588605776.42736,66.0
1588605777.50284,66.0
1588605778.54927,66.0
1588605779.60227,66.0
1588605789.63404,66.0
1588605790.69533,66.0
1588605791.77047,66.0
1588605792.82132,66.0
1588605793.89874,66.0
1588605814.81682,66.0
1588605815.86253,66.0
1588605816.91501,66.0
1588605817.96003,66.0
1588605846.92905,66.0
1588605847.98473,66.0
1588605849.0372,66.0
1588605857.62409,66.0
1588605858.67389,66.0
1588605859.72233,66.0
1588605860.77521,66.0
1588605861.8294,66.0
1588605871.61641,66.0
1588605872.67233,66.0
1588605873.72048,66.0
1588605874.78278,66.0
1588605886.20517,66.0
1588605887.25754,66.0
1588605888.31282,66.0
1588605889.36123,66.0
1588605896.96863,66.0
1588605898.01922,66.0
1588605899.06442,66.0
1588605907.52253,66.0
1588605908.58003,66.0
1588605909.62826,66.0
1588605910.66946,66.0
1588605932.54767,66.0
1588605933.60128,66.0
1588605934.65366,66.0
1588605935.70755,66.0
1588605951.93094,66.0
1588605953.00168,66.0
1588605954.05099,66.0
1588605955.10338,66.0
1588605956.14991,66.0
1588605957.21076,66.0
1588605975.62375,66.0
1588605976.6746,66.0
1588605977.73237,66.0
1588605978.78439,66.0
1588605979.83665,66.0
1588605980.88412,66.0
1588605981.94996,66.0
1588605991.99936,66.0
1588605993.04556,66.0
1588605994.09771,66.0
1588605995.14263,66.0
1588606017.10728,66.0
1588606018.17185,66.0
1588606019.21985,66.0
1588606020.26686,66.0
1588606021.31898,66.0
1588606030.32871,66.0
1588606031.38914,66.0
1588606032.44196,66.0
1588606033.49148,66.0
1588606034.54445,66.0
1588606035.59913,66.0
1588606036.64482,66.0
1588606037.70496,66.0
1588606038.87477,66.0
1588606039.92836,66.0
1588606041.07677,66.0
1588606042.12304,66.0
1588606043.16479,66.0
1588606044.20977,66.0
1588606045.26904,66.0
1588606065.38092,66.0
1588606066.43891,66.0
1588606067.4875,66.0
1588606068.64291,66.0
1588606069.69576,66.0
1588606070.74134,66.0
1588606071.81698,66.0
1588606072.87751,66.0
1588606109.50485,66.0
1588606110.55102,66.0
1588606111.59771,66.0
1588606127.208,66.0
1588606128.2555,66.0
1588606129.31246,66.0
1588606130.3593,66.0
1588606131.41283,66.0
1588606141.44338,66.0
1588606142.49087,66.0
1588606143.53788,66.0
1588606144.59588,66.0
1588606155.20425,66.0
1588606156.26735,66.0
1588606157.32028,66.0
1588606166.19645,66.0
1588606167.33236,66.0
