Time,Temperature
1584346074.951053,43.0
1584346075.045963,38.0
1584346075.1558576,47.0
1584346075.2627575,46.0
1584346075.3726528,33.0
1584346075.4825492,44.0
1584346075.591447,39.0
1584346075.7033403,49.0
1584346075.810239,38.0
1584346075.9201357,38.0
1584346076.0290322,48.0
1584346076.1379292,47.0
1584346076.248825,45.0
1584346076.3567243,44.0
1584346076.4666183,32.0
1584346076.576516,44.0
1584346076.6864107,37.0
1584346076.801302,33.0
1584346076.903339,39.0
1584346077.0157912,40.0
1584346077.1264522,31.0
1584346077.2326381,32.0
1584346077.3463514,45.0
1584346077.4510634,33.0
1584346077.5614033,31.0
1584346077.6690717,30.0
1584346077.7783337,42.0
1584346077.887698,48.0
1584346078.0012777,31.0
1584346078.1103394,49.0
1584346078.217498,42.0
1584346078.3264987,43.0
1584346078.4383864,32.0
1584346078.5475764,40.0
1584346078.6582057,34.0
1584346078.765543,32.0
1584346078.8720732,50.0
