Time,Temperature
1584346131.4922059,38.0
1584346131.5941386,32.0
1584346131.700942,44.0
1584346131.8102303,34.0
1584346131.9200115,42.0
1584346132.0299077,34.0
1584346132.1388032,50.0
1584346132.251717,49.0
1584346132.3566182,34.0
1584346132.466514,34.0
1584346132.575176,42.0
1584346132.6870685,40.0
1584346132.794967,50.0
1584346132.9038646,30.0
1584346133.0127614,49.0
1584346133.1266348,32.0
1584346133.237319,40.0
1584346133.3414555,50.0
1584346133.4501145,30.0
1584346133.5610096,50.0
1584346133.6689084,39.0
1584346133.7788043,48.0
1584346133.8877017,42.0
1584346133.997599,31.0
1584346134.1114895,34.0
1584346134.2163904,50.0
1584346134.3252883,44.0
1584346134.4351847,44.0
1584346134.5450797,49.0
1584346134.6539774,30.0
1584346134.7638721,32.0
1584346134.8727708,30.0
1584346135.0496037,45.0
1584346135.0925624,48.0
1584346135.2024586,39.0
1584346135.312354,48.0
1584346135.4202516,49.0
1584346135.5301495,32.0
1584346135.6380465,33.0
1584346135.748942,43.0
1584346135.8568406,49.0
1584346135.9657376,44.0
1584346136.0816274,35.0
1584346136.1845298,39.0
1584346136.2954245,34.0
1584346136.4063203,32.0
