Time,Temperature
1584362184.4556189,39.0
1584362184.4556189,39.0
1584362184.560567,30.0
1584362184.560567,30.0
1584362184.6715636,43.0
1584362184.6715636,43.0
1584362184.7844772,39.0
1584362184.7844772,39.0
1584362184.8888266,31.0
1584362184.8888266,31.0
1584362184.9997222,42.0
1584362184.9997222,42.0
1584362185.1129043,37.0
1584362185.1129043,37.0
1584362185.221288,37.0
1584362185.221288,37.0
1584362185.3281863,34.0
1584362185.3281863,34.0
1584362185.4360855,34.0
1584362185.4360855,34.0
1584362185.54598,45.0
1584362185.54598,45.0
1584362185.6548762,41.0
1584362185.6548762,41.0
1584362185.7656302,45.0
1584362185.7656302,45.0
1584362185.873527,38.0
1584362185.873527,38.0
1584362185.9814255,44.0
1584362185.9814255,44.0
1584362186.0963163,50.0
1584362186.0963163,50.0
1584362186.2002187,40.0
1584362186.2002187,40.0
1584362186.311661,33.0
1584362186.311661,33.0
1584362186.4199991,33.0
1584362186.4199991,33.0
1584362186.533891,48.0
1584362186.533891,48.0
1584362186.6395233,30.0
1584362186.6395233,30.0
1584362186.7494195,30.0
1584362186.7494195,30.0
1584362186.862314,44.0
1584362186.862314,44.0
1584362186.9693348,43.0
1584362186.9693348,43.0
1584362187.0760078,36.0
1584362187.0760078,36.0
1584362187.1869025,33.0
1584362187.1869025,33.0
1584362187.2977974,33.0
1584362187.2977974,33.0
1584362187.4067943,48.0
1584362187.4067943,48.0
1584362187.5147145,36.0
1584362187.5147145,36.0
1584362187.6246083,30.0
1584362187.6246083,30.0
1584362187.7376924,32.0
1584362187.7376924,32.0
1584362187.8415947,49.0
1584362187.8415947,49.0
1584362187.9504917,44.0
1584362187.9504917,44.0
1584362188.0603878,45.0
1584362188.0603878,45.0
1584362188.1745374,45.0
1584362188.1745374,45.0
1584362188.280437,49.0
1584362188.280437,49.0
1584362188.3913314,39.0
1584362188.3913314,39.0
1584362188.498232,46.0
1584362188.498232,46.0
1584362188.6081264,30.0
1584362188.6081264,30.0
1584362188.7170238,42.0
1584362188.7170238,42.0
1584362188.8279214,37.0
1584362188.8279214,37.0
1584362188.9358175,31.0
1584362188.9358175,31.0
1584362189.049711,44.0
1584362189.049711,44.0
1584362189.1538699,49.0
1584362189.1538699,49.0
1584362189.2627661,45.0
1584362189.2627661,45.0
1584362189.3726616,30.0
1584362189.3726616,30.0
1584362189.4825578,50.0
1584362189.4825578,50.0
1584362189.5914555,42.0
1584362189.5914555,42.0
1584362189.7023504,46.0
1584362189.7023504,46.0
1584362189.812246,43.0
1584362189.812246,43.0
1584362189.9251401,40.0
1584362189.9251401,40.0
1584362190.0290422,33.0
1584362190.0290422,33.0
1584362190.138198,38.0
1584362190.138198,38.0
1584362190.2490923,46.0
1584362190.2490923,46.0
1584362190.360986,31.0
1584362190.360986,31.0
1584362190.4678876,43.0
1584362190.4678876,43.0
1584362190.5757844,49.0
1584362190.5757844,49.0
1584362190.687678,33.0
1584362190.687678,33.0
1584362190.8015714,50.0
1584362190.8015714,50.0
1584362190.9034739,50.0
1584362190.9034739,50.0
1584362191.014369,31.0
1584362191.014369,31.0
1584362191.1235232,36.0
1584362191.1235232,36.0
1584362191.232422,41.0
1584362191.232422,41.0
1584362191.3423173,41.0
1584362191.3423173,41.0
1584362191.4512148,30.0
1584362191.4512148,30.0
1584362191.563109,36.0
1584362191.563109,36.0
1584362191.6690094,46.0
1584362191.6690094,46.0
1584362191.7839007,41.0
1584362191.7839007,41.0
1584362191.8898013,50.0
1584362191.8898013,50.0
1584362192.000695,44.0
1584362192.000695,44.0
